state_l,state_s,city,metro,rank,workers,industry,url,website,id,leadership,founded,company
Colorado,CO,Louisville,Denver,3878,20,Business Products & Services,office-evolution,officeevolution.com,77731,Mark Hemmeter,2003-01-01,Office Evolution
Indiana,IN,Nappanee,"Elkhart-Goshen, IN",3879,230,Manufacturing,aluminum-trailer-company,aluminumtrailer.com,77736,Steve Brenneman,1999-01-01,Aluminum Trailer Company
Virginia,VA,Henrico,"Richmond, VA",3880,165,Health,dynamic-mobile-imaging,dynamicmobileimaging.com,21833,Deborah Berger,2005-01-01,Dynamic Mobile Imaging
Indiana,IN,Indianapolis,"Indianapolis, IN",3881,42,Health,isalus-healthcare,isalushealthcare.com,77741,Michael Hall,2000-01-01,iSalus Healthcare
California,CA,Santee,San Diego,3882,15,Manufacturing,kw-cages,kwcages.com,44432,Kevin Whaley,1976-01-01,KW Cages
Georgia,GA,Roswell,Atlanta,3883,150,IT Services,stone-resource-group,stoneresource.net,25557,David Sergile,2010-01-01,STONE Resource Group
Colorado,CO,Castle Rock,Denver,3884,7,Advertising & Marketing,smarterchaoscom,smarterchaos.com,38183,Matt Frary,2010-01-01,SmarterChaos.com
New Jersey,NJ,Rumson,New York City,3885,89,Real Estate,resources-real-estate,resourcesrealestate.com,44018,Carolynn Diakon,2000-01-01,Resources Real Estate
Minnesota,MN,Eagan,Minneapolis,3886,135,Human Resources,tempworks,tempworks.com,7036,David Dourgarian,1997-01-01,TempWorks
South Carolina,SC,Mount Pleasant,"Charleston-North Charleston, SC",3887,1,Retail,bell-barksdale-holdings,bellandbarksdale.com,43735,David Demchik,2011-01-01,Bell & Barksdale Holdings
Maryland,MD,Gaithersburg,"Washington, DC",3888,40,Advertising & Marketing,blue-corona,bluecorona.com,21104,Ben Landers,2008-01-01,Blue Corona
Alabama,AL,Huntsville,"Huntsville, AL",3889,351,Government Services,yorktown-systems-group,ysginc.com,23189,Bryan Dyer,2008-01-01,Yorktown Systems Group
Florida,FL,Sarasota,"North Port-Sarasota-Bradenton, FL",3890,294,Telecommunications,star2star-communications,star2star.com,19352,Norman Worthington,2006-01-01,Star2Star Communications
Missouri,MO,Kansas City,"Kansas City, MO-KS",3891,31,Software,alight-analytics,alightanalytics.com,44522,Matt Hertig,2007-01-01,Alight Analytics
Kentucky,KY,Louisville,"Louisville/Jefferson County, KY-IN",3892,125,Business Products & Services,lss-life-safety-services,lifesafetyservices.com,1465,Craig Rutledge,2004-01-01,LSS Life Safety Services
Colorado,CO,Denver,Denver,3893,11,Construction,duet-design-group,duetdesigngroup.com,67856,Miranda Cullen,2011-01-01,Duet Design Group
Virginia,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",3894,32,Real Estate,priority-title-escrow,prioritytitleus.com,77746,Joseph Lamontagne,2005-01-01,Priority Title & Escrow
Georgia,GA,Atlanta,Atlanta,3895,82,Business Products & Services,techcxo,techcxo.com,22227,J Kent Elmer,2003-01-01,TechCXO
Texas,TX,Dallas,Dallas,3896,65,Energy,4c2-electrical-associates,4c2electrical.com,77751,Mike Carter,2011-01-01,4C2 Electrical Associates
Colorado,CO,Denver,Denver,3897,1710,Security,optiv-security,http://optiv.com,44221,Dan Burns,1996-01-01,Optiv Security
Virginia,VA,Springfield,"Washington, DC",3898,29,Construction,exterior-medics,exteriormedics.com,38221,Joe Levecchi,2008-01-01,Exterior Medics
Georgia,GA,Atlanta,Atlanta,3899,39,Software,asp-global,aspglobal.com,1927,Lorne Tritt,2003-01-01,ASP Global
Delaware,DE,Newark,Philadelphia,3900,52,Engineering,karins-and-associates,karinsengineering.com,77756,Dev Sitaram,1973-01-01,Karins and Associates
Maryland,MD,Fulton,Baltimore,3901,548,Financial Services,newday-usa,newdayusa.com,77761,Robert Posner,1999-01-01,NewDay USA
Virginia,VA,Falls Church,"Washington, DC",3902,89,Software,nexus-systems,nexussystems.com,21855,Thomas Coolidge,1999-01-01,Nexus Systems
Pennsylvania,PA,Lancaster,"Lancaster, PA",3903,90,Software,cargas-systems,cargas.com,77766,Chip Cargas,1988-01-01,Cargas Systems
Missouri,MO,St. Louis,"St. Louis, MO-IL",3904,53,IT Services,karpel-solutions,karpel.com,24292,Matt Ziemianski,1985-01-01,Karpel Solutions
